student_id,class_id
s_202100001,111103C
s_202100002,111101A
s_202100003,113102A
s_202100004,112102C
s_202100005,111203C
s_202100006,113101C
s_202100007,112201B
s_202100008,113102A
s_202100009,112203C
s_202100010,112101B
s_202100011,112203A
s_202100012,111203C
s_202100013,112203C
s_202100014,112102A
s_202100016,112101C
s_202100017,113103A
s_202100018,113203A
s_202100019,112101A
s_202100020,112101A
s_202100021,112103A
s_202100022,112103C
s_202100023,113101A
s_202100024,113101C
s_202100025,112103A
s_202100026,113103C
s_202100027,111201C
s_202100028,112203A
s_202100029,111103C
s_202100030,113203A
s_202100032,113103A
s_202100033,112102C
s_202100034,111102A
s_202100035,113202B
s_202100036,113103C
s_202100037,113102B
s_202100038,112101C
s_202100039,112102B
s_202100040,111102C
s_202100041,111103A
s_202100042,112201C
s_202100043,111102B
s_202100044,111102B
s_202100045,112202A
s_202100046,113101A
s_202100047,111101C
s_202100048,111201A
s_202100049,113101C
s_202100050,113203C
s_202100052,113202B
s_202100053,113102A
s_202100054,113101B
s_202100055,111201B
s_202100056,113203A
s_202100057,111101C
s_202100058,111203C
s_202100059,112203C
s_202100060,113102A
s_202100061,111101C
s_202100062,112101C
s_202100064,111103A
s_202100065,113101B
s_202100066,111202A
s_202100067,112102A
s_202100068,111102B
s_202100069,112201A
s_202100070,113101A
s_202100071,113203A
s_202100072,111202C
s_202100073,113202B
s_202100074,113203C
s_202100075,112201C
s_202100076,111103C
s_202100077,113101B
s_202100078,112103A
s_202100079,113203A
s_202100080,113103A
s_202100081,113102B
s_202100082,111102A
s_202100084,112201B
s_202100085,112203C
s_202100086,112202B
s_202100087,111103C
s_202100088,113102B
s_202100089,111102A
s_202100090,113203A
s_202100091,111103C
s_202100092,112202A
s_202100093,113103C
s_202100096,113201B
s_202100097,111202A
s_202100098,112201C
s_202100099,112102A
s_202100100,113102C
s_202100102,113103C
s_202100103,112102A
s_202100104,113102C
s_202100105,113201A
s_202100106,113202A
s_202100107,111203A
s_202100108,113101C
s_202100109,113202A
s_202100111,111201B
s_202100112,112103C
s_202100113,113202B
s_202100114,111103C
s_202100115,112203C
s_202100116,112202A
s_202100117,111102C
s_202100118,113202C
s_202100119,112101A
s_202100120,112202C
s_202100121,112101C
s_202100122,111202C
s_202100123,113201B
s_202100124,111201B
s_202100125,113201A
s_202100127,112101C
s_202100128,111202A
s_202100129,113103C
s_202100130,113102B
s_202100131,112102A
s_202100132,111101B
s_202100133,111201C
s_202100134,112101C
s_202100135,113202B
s_202100136,111202B
s_202100137,113101C
s_202100138,113202A
s_202100139,113101B
s_202100140,111102C
s_202100141,113203A
s_202100142,112102C
s_202100143,113201C
s_202100144,112102A
s_202100145,111201C
s_202100146,111201C
s_202100147,113203C
s_202100148,111103A
s_202100149,111102B
s_202100150,111201B
s_202100152,112103A
s_202100153,112201C
s_202100154,113202A
s_202100155,111101A
s_202100156,111201B
s_202100157,111201C
s_202100158,111102C
s_202100160,111101B
s_202100161,113102B
s_202100162,113102B
s_202100163,111203C
s_202100164,111203A
s_202100165,111201B
s_202100166,111101A
s_202100167,112202C
s_202100169,112102A
s_202100170,112201C
s_202100171,111203A
s_202100172,112102B
s_202100173,113101A
s_202100174,112101A
s_202100175,111103C
s_202100176,111202A
s_202100177,112103A
s_202100178,113103A
s_202100181,113203A
s_202100182,113203A
s_202100183,111201A
s_202100184,112101A
s_202100185,113202B
s_202100186,111102C
s_202100187,111103A
s_202100188,111103C
s_202100189,112203C
s_202100190,112203C
s_202100191,111102B
s_202100193,112103A
s_202100194,111101B
s_202100195,112102A
s_202100196,112203C
s_202100197,113103A
s_202100198,113101C
s_202100199,112103C
s_202100200,112201A
s_202100201,111203C
s_202100202,112201B
s_202100203,113103A
s_202100204,111202C
s_202100205,111103C
s_202100206,113202A
s_202100207,111201A
s_202100209,113103A
s_202100210,111203A
s_202100211,113202B
s_202100212,112101A
s_202100213,111102C
s_202100214,111203A
s_202100215,112203C
s_202100217,113102C
s_202100218,113102B
s_202100219,112101C
s_202100220,113203C
s_202100221,111203A
s_202100222,111202C
s_202100223,111203C
s_202100224,112101A
s_202100227,111102B
s_202100228,111103C
s_202100229,112203A
s_202100231,111102C
s_202100232,111103C
s_202100233,113101A
s_202100234,112101B
s_202100235,111203A
s_202100237,112101B
s_202100238,113202A
s_202100240,112102C
s_202100241,112101B
s_202100242,113103A
s_202100243,113203A
s_202100245,113202A
s_202100247,112103C
s_202100248,112203C
s_202100249,111202C
s_202100250,112101B
s_202100251,112202A
s_202100252,112102B
s_202100253,111203C
s_202100254,112201B
s_202100255,111103C
s_202100256,112102A
s_202100257,111101C
s_202100258,111201B
s_202100260,112203C
s_202100261,112103C
s_202100262,112101B
s_202100263,113101B
s_202100264,113201A
s_202100265,113102C
s_202100266,112201C
s_202100267,111201A
s_202100268,111203A
s_202100270,113201C
s_202100271,111101A
s_202100272,112203C
s_202100273,112103C
s_202100274,111103A
s_202100275,111102A
s_202100276,113202C
s_202100277,113201A
s_202100278,113203C
s_202100279,112203A
s_202100280,112101C
s_202100281,112201A
s_202100282,113203A
s_202100283,113102A
s_202100284,113103C
s_202100285,112202C
s_202100286,111201B
s_202100287,113103C
s_202100288,113101C
s_202100289,111101B
s_202100291,112101B
s_202100292,111203A
s_202100293,112103A
s_202100294,111103A
s_202100295,112201C
s_202100296,111202B
s_202100297,113103C
s_202100299,112202C
s_202100300,113102A
s_202100301,111203C
s_202100302,113201C
s_202100303,111103C
s_202100304,112201A
s_202100306,113102A
s_202100307,111101C
s_202100308,112203C
s_202100309,112101C
s_202100310,113103C
s_202100311,111103A
s_202100312,111203A
s_202100313,113103C
s_202100314,113202B
s_202100316,112203A
s_202100317,112203A
s_202100318,112203A
s_202100319,113101C
s_202100320,111103C
s_202100321,112103A
s_202100323,112102A
s_202100326,113202A
s_202100327,111102B
s_202100328,112203C
s_202100329,111103A
s_202100330,111202C
s_202100331,111203C
s_202100332,111202C
s_202100333,111101A
s_202100334,112102A
s_202100335,113103C
s_202100337,113201A
s_202100338,113201A
s_202100339,112201C
s_202100340,112202A
s_202100341,112203C
s_202100342,111203C
s_202100343,111103C
s_202100344,111203C
s_202100345,112201B
s_202100346,113101A
s_202100347,113102C
s_202100348,111202A
s_202100349,112202A
s_202100350,112202A
s_202100351,111103A
s_202100352,112103A
s_202100353,113103C
s_202100354,111103A
s_202100355,111203A
s_202100356,112101B
s_202100357,112203C
s_202100358,112201B
s_202100360,112102C
s_202100361,112203C
s_202100362,111102B
s_202100363,111201B
s_202100364,113101C
s_202100365,111201A
s_202100366,113101C
s_202100367,111201B
s_202100368,111101A
s_202100369,112201C
s_202100370,113203C
s_202100371,112202C
s_202100372,113103C
s_202100373,111101C
s_202100374,111103A
s_202100375,112202B
s_202100376,113202B
s_202100377,113101C
s_202100378,113202C
s_202100379,113203A
s_202100380,112103C
s_202100381,112103C
s_202100382,111201A
s_202100385,112203A
s_202100386,112203A
s_202100387,112103C
s_202100388,111201A
s_202100389,113201C
s_202100390,113201C
s_202100391,111203A
s_202100392,111102B
s_202100393,113202C
s_202100394,111103A
s_202100395,113102B
s_202100396,111101B
s_202100398,113101C
s_202100399,112202A
s_202100400,113203C
s_202100401,113101C
s_202100402,113202B
s_202100403,112201B
s_202100404,111103A
s_202100405,113101A
s_202100406,111202B
s_202100407,113203A
s_202100408,112202A
s_202100409,113101C
s_202100410,111203A
s_202100411,112103A
s_202100412,111102A
s_202100413,111201B
s_202100414,113203A
s_202100415,113202B
s_202100416,113203A
s_202100417,112103A
s_202100418,112101C
s_202100419,113201A
s_202100420,112203C
s_202100421,111103A
s_202100422,112203A
s_202100424,113103A
s_202100425,113102C
s_202100426,112201C
s_202100427,113103A
s_202100428,111203C
s_202100429,111201C
s_202100430,111102C
s_202100431,111203C
s_202100432,112102C
s_202100434,112103C
s_202100435,112201A
s_202100436,113203A
s_202100437,113203C
s_202100438,113202C
s_202100439,112203A
s_202100440,111202B
s_202100441,111201B
s_202100442,111201B
s_202100443,112202A
s_202100444,111202A
s_202100445,111103A
s_202100446,111102B
s_202100447,113203C
s_202100448,113201A
s_202100449,113101A
s_202100450,112201B
s_202100451,113202B
s_202100454,113202A
s_202100455,112103C
s_202100456,112202A
s_202100457,113201B
s_202100458,112102B
s_202100459,113202A
s_202100460,111202C
s_202100461,111102C
s_202100462,112103A
s_202100463,112203C
s_202100464,113103A
s_202100466,112101A
s_202100467,112201A
s_202100468,112103C
s_202100470,113202C
s_202100471,113203C
s_202100472,112101B
s_202100473,111102B
s_202100474,112202C
s_202100475,112103C
s_202100476,112101B
s_202100477,113103A
s_202100478,112201C
s_202100479,112202C
s_202100480,112201A
s_202100481,111101B
s_202100482,113203A
s_202100483,111202A
s_202100484,111101C
s_202100485,111103A
s_202100486,111202C
s_202100487,112101C
s_202100488,111201A
s_202100489,113102B
s_202100490,111102A
s_202100491,113101C
s_202100492,111101C
s_202100493,113102B
s_202100495,112103C
s_202100496,111202B
s_202100497,113101A
s_202100498,112102C
s_202100499,112203A
s_202100501,111203A
s_202100502,112201A
s_202100503,112203A
s_202100505,113101C
s_202100506,111203A
s_202100507,112103A
s_202100508,112103A
s_202100510,111102B
s_202100511,112201B
s_202100513,113202A
s_202100514,113202C
s_202100515,113102A
s_202100516,111102A
s_202100517,111203A
s_202100518,113202B
s_202100519,113101A
s_202100521,111201A
s_202100522,112103A
s_202100523,113103A
s_202100524,112201A
s_202100526,111203A
s_202100527,113203C
s_202100528,113203A
s_202100529,112203C
s_202100530,113203A
s_202100531,113102B
s_202100532,112201C
s_202100533,111201A
s_202100534,111103C
s_202100535,113103C
s_202100536,111201A
s_202100537,112103A
s_202100538,111202B
s_202100539,112201B
s_202100540,112201B
s_202100541,112101C
s_202100542,112102A
s_202100543,113201A
s_202100544,111201C
s_202100545,113202C
s_202100546,113203A
s_202100547,112201A
s_202100548,112103C
s_202100549,112103C
s_202100550,112202A
s_202100551,112203C
s_202100552,111201A
s_202100553,111103A
s_202100554,113201B
s_202100555,113202C
s_202100556,112202B
s_202100557,113101B
s_202100558,113101C
s_202100559,111202A
s_202100560,113103C
s_202100561,112101C
s_202100563,111203A
s_202100564,112202B
s_202100565,111103C
s_202100566,112203A
s_202100567,112201A
s_202100568,112201A
s_202100569,112201B
s_202100570,113102B
s_202100571,112102B
s_202100572,111201C
s_202100573,112103A
s_202100574,113101A
s_202100575,113102B
s_202100577,113201A
s_202100578,113201C
s_202100579,111203C
s_202100580,112103C
s_202100581,113201B
s_202100582,113202A
s_202100583,111101C
s_202100584,111201A
s_202100585,112103A
s_202100586,113103C
s_202100587,111102B
s_202100588,111203A
s_202100589,112101C
s_202100591,112201C
s_202100592,113103C
s_202100593,113202C
s_202100594,113103A
s_202100595,113103A
s_202100596,111202A
s_202100597,112101C
s_202100598,112101C
s_202100599,113103C
s_202100600,113203C
s_202100601,113203C
s_202100603,112101A
s_202100604,112203A
s_202100605,111201B
s_202100607,112202B
s_202100608,112103A
s_202100609,112201A
s_202100610,113101C
s_202100611,112202A
s_202100612,113101A
s_202100613,111103C
s_202100614,113201B
s_202100615,111103A
s_202100616,111201B
s_202100617,112202C
